"STATE","STATEABBREVIATION","STATEFP","INDICATOR","YEAR","VALUE"
"Minnesota","MN","27","opioid_RxRate","2015","52.1"
"Mississippi","MS","28","opioid_RxRate","2015","110.9"
"Missouri","MO","29","opioid_RxRate","2015","84.5"
"Montana","MT","30","opioid_RxRate","2015","73.3"
"Nebraska","NE","31","opioid_RxRate","2015","65.5"
"Nevada","NV","32","opioid_RxRate","2015","85.4"
"New Hampshire","NH","33","opioid_RxRate","2015","74.8"
"New Jersey","NJ","34","opioid_RxRate","2015","56"
"New Mexico","NM","35","opioid_RxRate","2015","69.8"
"New York","NY","36","opioid_RxRate","2015","45.1"
"North Carolina","NC","37","opioid_RxRate","2015","88.4"
"North Dakota","ND","38","opioid_RxRate","2015","53"
"Ohio","OH","39","opioid_RxRate","2015","82.7"
"Oklahoma","OK","40","opioid_RxRate","2015","104.4"
"Oregon","OR","41","opioid_RxRate","2015","84.2"
"Pennsylvania","PA","42","opioid_RxRate","2015","75.5"
"Rhode Island","RI","44","opioid_RxRate","2015","65.7"
"South Carolina","SC","45","opioid_RxRate","2015","95.1"
"South Dakota","SD","46","opioid_RxRate","2015","59.1"
"Tennessee","TN","47","opioid_RxRate","2015","114.9"
"Texas","TX","48","opioid_RxRate","2015","59.8"
"Utah","UT","49","opioid_RxRate","2015","74.4"
"Vermont","VT","50","opioid_RxRate","2015","60.1"
"Virginia","VA","51","opioid_RxRate","2015","68.1"
"Washington","WA","53","opioid_RxRate","2015","69.8"
"West Virginia","WV","54","opioid_RxRate","2015","111.3"
"Wisconsin","WI","55","opioid_RxRate","2015","67.5"
"Wyoming","WY","56","opioid_RxRate","2015","75.4"
"Alabama","AL","01","opioid_RxRate","2016","121"
"Alaska","AK","02","opioid_RxRate","2016","58.9"
"Arizona","AZ","04","opioid_RxRate","2016","70.2"
"Arkansas","AR","05","opioid_RxRate","2016","114.6"
"California","CA","06","opioid_RxRate","2016","44.8"
"Colorado","CO","08","opioid_RxRate","2016","59.8"
"Connecticut","CT","09","opioid_RxRate","2016","55.9"
"Delaware","DE","10","opioid_RxRate","2016","79.2"
"District of Columbia","DC","11","opioid_RxRate","2016","32.5"
"Florida","FL","12","opioid_RxRate","2016","66.6"
"Georgia","GA","13","opioid_RxRate","2016","77.8"
"Hawaii","HI","15","opioid_RxRate","2016","41.9"
"Idaho","ID","16","opioid_RxRate","2016","77.6"
"Illinois","IL","17","opioid_RxRate","2016","56.8"
"Indiana","IN","18","opioid_RxRate","2016","83.9"
"Iowa","IA","19","opioid_RxRate","2016","64"
"Kansas","KS","20","opioid_RxRate","2016","76.9"
"Kentucky","KY","21","opioid_RxRate","2016","97.2"
"Louisiana","LA","22","opioid_RxRate","2016","98.1"
"Maine","ME","23","opioid_RxRate","2016","66.9"
"Maryland","MD","24","opioid_RxRate","2016","58.7"
"Massachusetts","MA","25","opioid_RxRate","2016","47.1"
"Michigan","MI","26","opioid_RxRate","2016","84.9"
"Minnesota","MN","27","opioid_RxRate","2016","46.9"
"Mississippi","MS","28","opioid_RxRate","2016","105.6"
"Missouri","MO","29","opioid_RxRate","2016","80.4"
"Montana","MT","30","opioid_RxRate","2016","69.8"
"Nebraska","NE","31","opioid_RxRate","2016","62.8"
"Nevada","NV","32","opioid_RxRate","2016","80.7"
"New Hampshire","NH","33","opioid_RxRate","2016","64.3"
"New Jersey","NJ","34","opioid_RxRate","2016","52.6"
"New Mexico","NM","35","opioid_RxRate","2016","65.1"
"New York","NY","36","opioid_RxRate","2016","42.7"
"North Carolina","NC","37","opioid_RxRate","2016","82.5"
"North Dakota","ND","38","opioid_RxRate","2016","47.8"
"Ohio","OH","39","opioid_RxRate","2016","75.3"
"Oklahoma","OK","40","opioid_RxRate","2016","97.9"
"Oregon","OR","41","opioid_RxRate","2016","76.3"
"Pennsylvania","PA","42","opioid_RxRate","2016","69.5"
"Rhode Island","RI","44","opioid_RxRate","2016","60.3"
"South Carolina","SC","45","opioid_RxRate","2016","89.4"
"South Dakota","SD","46","opioid_RxRate","2016","54.8"
"Tennessee","TN","47","opioid_RxRate","2016","107.5"
"Texas","TX","48","opioid_RxRate","2016","57.6"
"Utah","UT","49","opioid_RxRate","2016","70.4"
"Vermont","VT","50","opioid_RxRate","2016","58.6"
"Virginia","VA","51","opioid_RxRate","2016","63.4"
"Washington","WA","53","opioid_RxRate","2016","64.9"
"West Virginia","WV","54","opioid_RxRate","2016","96"
"Wisconsin","WI","55","opioid_RxRate","2016","62.2"
"Wyoming","WY","56","opioid_RxRate","2016","71.1"
"Alabama","AL","01","opioid_RxRate","2017","107.2"
"Alaska","AK","02","opioid_RxRate","2017","52"
"Arizona","AZ","04","opioid_RxRate","2017","61.2"
"Arkansas","AR","05","opioid_RxRate","2017","105.4"
"California","CA","06","opioid_RxRate","2017","39.5"
"Colorado","CO","08","opioid_RxRate","2017","52.9"
"Connecticut","CT","09","opioid_RxRate","2017","48"
"Delaware","DE","10","opioid_RxRate","2017","68.3"
"District of Columbia","DC","11","opioid_RxRate","2017","28.5"
"Florida","FL","12","opioid_RxRate","2017","60.9"
"Georgia","GA","13","opioid_RxRate","2017","70.9"
"Hawaii","HI","15","opioid_RxRate","2017","37"
"Idaho","ID","16","opioid_RxRate","2017","70.3"
"Illinois","IL","17","opioid_RxRate","2017","51.1"
"Indiana","IN","18","opioid_RxRate","2017","74.2"
"Iowa","IA","19","opioid_RxRate","2017","56.4"
"Kansas","KS","20","opioid_RxRate","2017","69.8"
"Kentucky","KY","21","opioid_RxRate","2017","86.8"
"Louisiana","LA","22","opioid_RxRate","2017","89.5"
"Maine","ME","23","opioid_RxRate","2017","55.7"
"Maryland","MD","24","opioid_RxRate","2017","51.7"
"Massachusetts","MA","25","opioid_RxRate","2017","40.1"
"Michigan","MI","26","opioid_RxRate","2017","74.2"
"Minnesota","MN","27","opioid_RxRate","2017","41"
"Mississippi","MS","28","opioid_RxRate","2017","92.9"
"Missouri","MO","29","opioid_RxRate","2017","71.8"
"Montana","MT","30","opioid_RxRate","2017","61.1"
"Nebraska","NE","31","opioid_RxRate","2017","56.6"
"Nevada","NV","32","opioid_RxRate","2017","73"
"New Hampshire","NH","33","opioid_RxRate","2017","52.8"
"New Jersey","NJ","34","opioid_RxRate","2017","44.2"
"New Mexico","NM","35","opioid_RxRate","2017","56.4"
"New York","NY","36","opioid_RxRate","2017","37.8"
"North Carolina","NC","37","opioid_RxRate","2017","72"
"North Dakota","ND","38","opioid_RxRate","2017","41.5"
"Ohio","OH","39","opioid_RxRate","2017","63.5"
"Oklahoma","OK","40","opioid_RxRate","2017","88.1"
"Oregon","OR","41","opioid_RxRate","2017","66.1"
"Pennsylvania","PA","42","opioid_RxRate","2017","57.7"
"Rhode Island","RI","44","opioid_RxRate","2017","51.2"
"South Carolina","SC","45","opioid_RxRate","2017","79.3"
"South Dakota","SD","46","opioid_RxRate","2017","49"
"Tennessee","TN","47","opioid_RxRate","2017","94.4"
"Texas","TX","48","opioid_RxRate","2017","53.1"
"Utah","UT","49","opioid_RxRate","2017","63.8"
"Vermont","VT","50","opioid_RxRate","2017","50.5"
"Virginia","VA","51","opioid_RxRate","2017","52.9"
"Washington","WA","53","opioid_RxRate","2017","57.2"
"West Virginia","WV","54","opioid_RxRate","2017","81.3"
"Wisconsin","WI","55","opioid_RxRate","2017","52.6"
"Wyoming","WY","56","opioid_RxRate","2017","64.8"
